date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:13	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2001:58:12%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-color.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-color.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:13	231634/231634	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:56%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-radio.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-radio.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:13	221117/221117	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2011:37:34%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-dropdown.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-dropdown.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:13	231596/231596	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:20:17%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-dynamic.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-dynamic.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:14	232648/232648	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:54%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-bundle.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-bundle.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:14	230058/230058	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-image.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-image.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:14	240960/240960	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:54%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-size-chart.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-size-chart.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:14	245269/245269	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:20:22%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-expert.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-expert.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:14	235442/235442	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-bottom-thumbnail.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-bottom-thumbnail.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:15	233880/233880	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/product-right-thumbnail.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/product-right-thumbnail.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:15	88422/88422	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Feb%202024%2003:49:06%20GMT	https://themes.pixelstrap.com/fastkart/assets/images/mega-menu.png	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/assets/images/mega-menu.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:16	796/796	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Mar%202024%2001:58:15%20GMT	https://themes.pixelstrap.com/fastkart/front-end/demo-personal-portfolio.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/demo-personal-portfolio.3b.delayed	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:16	139938/139938	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/blog-detail.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/blog-detail.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:16	144723/144723	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/blog-grid.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/blog-grid.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:16	140924/140924	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:56%20GMT	https://themes.pixelstrap.com/fastkart/front-end/blog-list.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/blog-list.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:17	108846/108846	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:57%20GMT	https://themes.pixelstrap.com/fastkart/front-end/404.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/404.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
08:58:17	150837/150837	---M-Z	200	added ('OK')	text/html	date:Fri,%2002%20Feb%202024%2010:02:58%20GMT	https://themes.pixelstrap.com/fastkart/front-end/about-us.html	C:/Users/84787/Desktop/theme/themes.pixelstrap.com/fastkart/front-end/about-us.html	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
